ts_utc,exchange,symbol,price,rsi,signal,timeframe
2025-09-30 14:50:41 UTC,kraken,DOGE/USD,0.2293968,52.4745,HOLD,5m
2025-09-30 14:50:43 UTC,kraken,SHIB/USD,1.17e-05,47.8699,HOLD,5m
2025-09-30 14:50:45 UTC,kraken,AVAX/USD,29.36,57.6817,HOLD,5m
2025-09-30 14:50:48 UTC,kraken,ATOM/USD,4.0347,46.1455,HOLD,5m
2025-09-30 14:51:19 UTC,kraken,SOL/USD,207.7,54.2431,HOLD,5m
2025-09-30 14:51:21 UTC,kraken,DOGE/USD,0.2290775,49.2684,HOLD,5m
2025-09-30 14:51:23 UTC,kraken,SHIB/USD,1.17e-05,47.8699,HOLD,5m
2025-09-30 14:51:25 UTC,kraken,AVAX/USD,29.3,53.2857,HOLD,5m
2025-09-30 14:51:28 UTC,kraken,ATOM/USD,4.0347,46.1455,HOLD,5m
2025-09-30 14:51:59 UTC,kraken,SOL/USD,207.68,54.0380,HOLD,5m
2025-09-30 14:52:01 UTC,kraken,DOGE/USD,0.2288723,47.2552,HOLD,5m
2025-09-30 14:52:03 UTC,kraken,SHIB/USD,1.17e-05,47.8699,HOLD,5m
2025-09-30 14:52:06 UTC,kraken,AVAX/USD,29.27,51.2423,HOLD,5m
2025-09-30 14:52:08 UTC,kraken,ATOM/USD,4.0347,46.1455,HOLD,5m
2025-09-30 14:52:39 UTC,kraken,SOL/USD,207.46,51.8802,HOLD,5m
2025-09-30 14:52:41 UTC,kraken,DOGE/USD,0.2288951,47.4707,HOLD,5m
2025-09-30 14:52:44 UTC,kraken,SHIB/USD,1.17e-05,47.8699,HOLD,5m
2025-09-30 14:52:46 UTC,kraken,AVAX/USD,29.24,49.3499,HOLD,5m
2025-09-30 14:52:48 UTC,kraken,ATOM/USD,4.0347,46.1455,HOLD,5m
2025-09-30 14:53:19 UTC,kraken,SOL/USD,207.58,52.4514,HOLD,5m
2025-09-30 14:53:21 UTC,kraken,DOGE/USD,0.2288168,45.9521,HOLD,5m
2025-09-30 14:53:23 UTC,kraken,SHIB/USD,1.17e-05,47.8699,HOLD,5m
2025-09-30 14:53:25 UTC,kraken,AVAX/USD,29.24,49.3499,HOLD,5m
2025-09-30 14:53:28 UTC,kraken,ATOM/USD,4.0347,46.1455,HOLD,5m
2025-09-30 14:53:59 UTC,kraken,SOL/USD,207.77,54.9734,HOLD,5m
2025-09-30 14:54:01 UTC,kraken,DOGE/USD,0.2289116,47.6279,HOLD,5m
2025-09-30 14:54:03 UTC,kraken,SHIB/USD,1.168e-05,43.8933,HOLD,5m
2025-09-30 14:54:05 UTC,kraken,AVAX/USD,29.24,49.3499,HOLD,5m
2025-09-30 14:54:08 UTC,kraken,ATOM/USD,4.0347,46.1455,HOLD,5m
2025-09-30 14:54:42 UTC,kraken,SOL/USD,207.83,55.6152,HOLD,5m
2025-09-30 14:54:45 UTC,kraken,DOGE/USD,0.229011,48.5975,HOLD,5m
2025-09-30 14:54:47 UTC,kraken,SHIB/USD,1.168e-05,43.8933,HOLD,5m
2025-09-30 14:54:49 UTC,kraken,AVAX/USD,29.28,51.9058,HOLD,5m
2025-09-30 14:54:51 UTC,kraken,ATOM/USD,4.0347,46.1455,HOLD,5m
2025-09-30 14:56:33 UTC,kraken,SOL/USD,208.33,59.9299,HOLD,5m
2025-09-30 14:56:35 UTC,kraken,DOGE/USD,0.2291958,50.6105,HOLD,5m
2025-09-30 14:56:37 UTC,kraken,SHIB/USD,1.168e-05,43.8933,HOLD,5m
2025-09-30 14:56:40 UTC,kraken,AVAX/USD,29.32,54.4466,HOLD,5m
2025-09-30 14:56:42 UTC,kraken,ATOM/USD,4.0273,41.5707,HOLD,5m
2025-09-30 15:00:26 UTC,kraken,BTC/USD,113592.2,66.9790,SELL,5m
2025-09-30 15:00:28 UTC,kraken,ETH/USD,4150.18,51.2199,HOLD,5m
